"PK","SK","close","created_at","high","low","open","pair","timeframe_minutes","timestamp","volume","vwap"
"PAIR#XXBTZUSD","TF#1m#TS#1778392620","80670","1778435845","80670","80669.9","80669.9","XXBTZUSD","1","1778392620","0.06460826","80669.9"
"PAIR#XXBTZUSD","TF#1m#TS#1778392680","80670","1778435905","80670","80669.9","80670","XXBTZUSD","1","1778392680","0.05281539","80669.9"
"PAIR#XXBTZUSD","TF#1m#TS#1778392740","80670","1778435965","80670","80669.9","80670","XXBTZUSD","1","1778392740","0.37273336","80669.9"
"PAIR#XXBTZUSD","TF#1m#TS#1778392800","80670","1778436025","80670","80669.9","80670","XXBTZUSD","1","1778392800","0.10047628","80669.9"
"PAIR#XXBTZUSD","TF#1m#TS#1778392860","80670","1778436085","80670","80669.9","80669.9","XXBTZUSD","1","1778392860","0.05541279","80669.9"
"PAIR#XXBTZUSD","TF#1m#TS#1778392920","80670","1778436145","80670","80669.9","80669.9","XXBTZUSD","1","1778392920","0.00163287","80669.9"
"PAIR#XXBTZUSD","TF#1m#TS#1778392980","80699.2","1778436205","80699.3","80670","80670","XXBTZUSD","1","1778392980","1.3425361","80674.2"
"PAIR#XXBTZUSD","TF#1m#TS#1778393040","80695.8","1778436265","80699.9","80695.8","80699.2","XXBTZUSD","1","1778393040","0.1933219","80698.6"
"PAIR#XXBTZUSD","TF#1m#TS#1778393100","80695.9","1778436325","80695.9","80695.8","80695.9","XXBTZUSD","1","1778393100","0.0407597","80695.8"
"PAIR#XXBTZUSD","TF#1m#TS#1778393160","80695.8","1778436385","80695.9","80695.8","80695.8","XXBTZUSD","1","1778393160","0.21628303","80695.8"
"PAIR#XXBTZUSD","TF#1m#TS#1778393220","80695.9","1778436445","80695.9","80695.8","80695.9","XXBTZUSD","1","1778393220","0.02513433","80695.8"
"PAIR#XXBTZUSD","TF#1m#TS#1778393280","80695.9","1778436505","80695.9","80695.8","80695.9","XXBTZUSD","1","1778393280","0.00805644","80695.8"
"PAIR#XXBTZUSD","TF#1m#TS#1778393340","80695.9","1778436565","80695.9","80695.8","80695.9","XXBTZUSD","1","1778393340","0.01987652","80695.8"
